"AA"	"0.37419568611208465_34.91434906103766"
"F9"	"0.42683651108972126_42.94240955762403"
"HA"	"0.3569909826826519_15.783380574791002"
"NK"	"0.3830995155867891_42.00500618410978"
"OH"	"0.40199560545405294_37.54401744599603"
"OO"	"0.36483208271589146_38.47485998331716"
"EV"	"0.3740874176217992_42.41223711221592"
"FL"	"0.35923565241974864_27.58211411196566"
"G4"	"0.390547525002101_44.93073674583748"
"MQ"	"0.41610088540305756_35.997076384599545"
"9E"	"0.3101314281121644_49.16858530198047"
"US"	"0.3858009397977406_26.48554669149179"
"B6"	"0.4028714977396533_42.83137075900095"
"DL"	"0.28330568266348083_34.70317441752219"
"AS"	"0.34374430320564653_23.76513308127129"
"UA"	"0.3416315623059406_40.07988072498057"
"YX"	"0.32886271015423324_38.98716952563107"
"VX"	"0.4191502436026862_34.36562123671396"
"WN"	"0.40514270633512717_28.680188346187073"
"YV"	"0.3808813261021359_41.81077348066298"
