"9E_3284"	"0.3470715835140998_51.5375"
"9E_3291"	"0.27654867256637167_41.04"
"9E_3298"	"0.31157894736842107_56.41891891891892"
"9E_3305"	"0.23291139240506328_59.69565217391305"
"9E_3312"	"0.3834745762711864_38.0939226519337"
"9E_3319"	"0.275609756097561_64.65486725663717"
"9E_3326"	"0.3638676844783715_64.76223776223776"
"9E_3333"	"0.38403990024937656_62.95454545454545"
"9E_3340"	"0.2997416020671835_32.08620689655172"
"9E_3347"	"0.27702702702702703_42.26829268292683"
"9E_3354"	"0.27842227378190254_86.35833333333333"
"9E_3361"	"0.33613445378151263_42.11875"
"9E_3368"	"0.2542857142857143_62.31460674157304"
"9E_3375"	"0.31901840490797545_48.93269230769231"
"9E_3382"	"0.2885085574572127_47.41525423728814"
"9E_3389"	"0.2664576802507837_45.811764705882354"
"9E_3396"	"0.2894736842105263_56.66942148760331"
"9E_3403"	"0.29850746268656714_60.01"
"9E_3410"	"0.2832512315270936_47.643478260869564"
"9E_3417"	"0.2413793103448276_45.395604395604394"
"9E_3424"	"0.421195652173913_44.49032258064516"
"9E_3431"	"0.3058252427184466_45.801587301587304"
"9E_3438"	"0.24772727272727274_58.3394495412844"
"9E_3445"	"0.34782608695652173_37.69642857142857"
"9E_3452"	"0.35_50.61344537815126"
"9E_3459"	"0.3438395415472779_51.041666666666664"
"9E_3466"	"0.22636103151862463_40.860759493670884"
"9E_3473"	"0.30434782608695654_41.84761904761905"
"9E_3480"	"0.2953846153846154_56.635416666666664"
"9E_3487"	"0.30327868852459017_55.945945945945944"
"9E_3494"	"0.34844192634560905_42.260162601626014"
"9E_3501"	"0.3319838056680162_44.548780487804876"
"9E_3508"	"0.35436893203883496_47.64383561643836"
"9E_3515"	"0.30869565217391304_73.71830985915493"
"9E_3613"	"0.32967032967032966_49.266666666666666"
"9E_3620"	"0.2827586206896552_44.46341463414634"
"9E_3627"	"0.2777777777777778_29.666666666666668"
"9E_3634"	"0.37681159420289856_51.76923076923077"
"9E_3641"	"0.26804123711340205_46.65384615384615"
"9E_3648"	"0.4576271186440678_98.51851851851852"
"9E_3655"	"0.38461538461538464_77.2"
"9E_3662"	"0.2765957446808511_90.84615384615384"
"9E_3669"	"0.4_33.333333333333336"
"9E_3676"	"0.3170731707317073_23.76923076923077"
"9E_3683"	"0.1_121.5"
"9E_3690"	"0.21774193548387097_65.51851851851852"
"9E_3697"	"0.3253012048192771_33.18518518518518"
