"ABE_SFB"	"0.36961451247165533_48.3680981595092"
"ABI_DFW"	"0.37054794520547946_38.19778188539741"
"ABQ_PHX"	"0.47091238839285715_26.6594578580951"
"ACT_DFW"	"0.33217154114259734_38.29151459854015"
"ACV_SMF"	"0.2896678966789668_36.87261146496815"
"ACY_IAH"	"0.21739130434782608_60.88"
"ACY_MCO"	"0.38540662166505946_36.03836530442035"
"AGS_ATL"	"0.34649122807017546_41.77790563866513"
"AGS_DCA"	"0.26666666666666666_51.75"
"AGS_LGA"	"0.3181818181818182_64.71428571428571"
"AGS_ORD"	"0.8_47.75"
"ALB_ATL"	"0.2454688731284476_41.181380417335475"
"ALB_DCA"	"0.31311329170383584_48.81481481481482"
"ALB_FLL"	"0.3623356535189482_40.17502668089648"
"ALB_IAD"	"0.38311688311688313_43.644067796610166"
"ALB_LAS"	"0.32529043789097406_23.936813186813186"
"ALB_ORD"	"0.37652975691533946_43.73597506678539"
"ALB_RSW"	"0.36428571428571427_27.03921568627451"
"AMA_PHX"	"0.250936329588015_37.82089552238806"
"ANC_AKN"	"0.37142857142857144_15.854700854700855"
"ANC_DFW"	"0.48360655737704916_74.98305084745763"
"ANC_HNL"	"0.23448275862068965_23.13368983957219"
"ANC_SLC"	"0.1462882096069869_42.507462686567166"
"APN_PLN"	"0.27197802197802196_76.85353535353535"
"ASE_IAH"	"0.43209229155742_53.42111650485437"
"ASE_MSP"	"0.5480769230769231_76.05263157894737"
"ASE_SFO"	"0.5008665511265165_65.61072664359861"
"ATL_AVL"	"0.32886275950762445_38.66033519553073"
"ATL_BMI"	"0.4050238737803612_40.55151204510508"
"ATL_BQK"	"0.34877208099956913_36.67510809141445"
"ATL_BUF"	"0.2471024017206357_26.21276595744681"
"ATL_CHA"	"0.33974268344408315_37.754265501456516"
"ATL_CHO"	"0.3229312762973352_36.51031487513572"
"ATL_ELM"	"0.423728813559322_49.56"
"ATL_EYW"	"0.29669762641898867_40.21739130434783"
"ATL_FSD"	"0.35224438902743144_44.720353982300885"
"ATL_GSP"	"0.3181645328939029_32.48784860557769"
"ATL_MOB"	"0.3511382761980689_38.72124117053481"
"ATL_MSY"	"0.32387991088793805_28.173490555737526"
"ATL_OKC"	"0.26942615239887113_29.643156424581004"
"ATL_PHX"	"0.3304422776490869_26.48728399087056"
"ATL_RIC"	"0.32205004764053957_27.572718779196514"
"ATL_SCE"	"0.3050847457627119_33.72222222222222"
"ATL_STX"	"0.36666666666666664_19.545454545454547"
"ATL_TUL"	"0.30722442899702085_31.248080808080807"
"ATL_TUS"	"0.26702033598585323_32.36534216335541"
"ATW_MSP"	"0.31451612903225806_39.255494505494504"
"ATW_PGD"	"0.2857142857142857_117.25"
"ATW_PIE"	"0.26262626262626265_67.26923076923077"
"AUS_IAH"	"0.3428273427471117_35.18628598174585"
"AUS_IND"	"0.553921568627451_34.47787610619469"
"AUS_MCO"	"0.41831462675930875_32.38841567291312"
"AUS_MKE"	"0.4787234042553192_30.6"
"AUS_MSP"	"0.2837620578778135_34.420679886685555"
"AUS_ONT"	"0.4312796208530806_46.34065934065934"
"AUS_PIE"	"0.47692307692307695_63.74193548387097"
"AUS_SFO"	"0.38680003572385463_42.85407527129993"
"AUS_SJC"	"0.40178129638792676_29.64347290640394"
"AVP_HPN"	"1.0_51.0"
"AVP_PIE"	"1.0_10.0"
"AZA_BZN"	"0.5169491525423728_22.21311475409836"
"AZA_FAR"	"0.2616822429906542_25.553571428571427"
"AZA_FWA"	"0.2777777777777778_20.5"
"AZA_ICT"	"0.42342342342342343_40.12765957446808"
"AZA_MEM"	"0.5238095238095238_50.18181818181818"
"BDL_BWI"	"0.30487192365645405_26.87149917627677"
"BDL_CLE"	"0.29708222811671087_41.5"
"BDL_MDW"	"0.32611956288836513_26.016425755584756"
"BDL_MIA"	"0.30430274753758424_23.098807495741056"
"BDL_PBI"	"0.4775796866558617_42.338235294117645"
"BDL_PHL"	"0.31216216216216214_37.268398268398265"
"BDL_SJU"	"0.43005595523581136_38.73141263940521"
"BDL_STL"	"0.22448979591836735_25.96969696969697"
"BDL_TPA"	"0.33548863846295957_35.66299559471366"
"BFL_DEN"	"0.27436718068082633_42.020148462354186"
"BFL_LAX"	"0.4975845410628019_38.45631067961165"
"BGR_DCA"	"0.358974358974359_37.292857142857144"
"BGR_LGA"	"0.30250596658711215_65.80473372781066"
"BGR_ORD"	"0.4192546583850932_46.31111111111111"
"BHM_BWI"	"0.3837298541826554_31.002"
"BHM_HOU"	"0.2861901877649909_27.966137566137565"
"BHM_MDW"	"0.36471284783895797_33.02029220779221"
"BHM_MIA"	"0.3148914167528438_36.916256157635466"
"BHM_PHL"	"0.3950617283950617_53.83203125"
"BHM_STL"	"0.8_62.25"
"BHM_TPA"	"0.3529237162362719_29.373423044575272"
"BIL_DFW"	"0.25_37.19101123595506"
"BIL_SLC"	"0.20013898540653233_36.833333333333336"
"BIS_DFW"	"0.3530150753768844_57.85053380782918"
"BLI_HNL"	"0.26834381551362685_34.0390625"
"BLI_PSP"	"0.1696969696969697_15.142857142857142"
"BLV_AZA"	"0.4153846153846154_22.48148148148148"
"BLV_FLL"	"0.5625_91.83333333333333"
"BLV_LAS"	"0.5047619047619047_43.64150943396226"
"BMI_DEN"	"0.6398104265402843_43.14074074074074"
"BMI_SFB"	"0.5614035087719298_59.171875"
"BNA_IAH"	"0.3842652795838752_38.12994923857868"
"BNA_MCO"	"0.40520628683693516_31.67818181818182"
"BNA_MKE"	"0.1631644004944376_35.97727272727273"
"BNA_MSP"	"0.3091213643977463_41.926600985221675"
"BNA_PGD"	"0.8208955223880597_43.49090909090909"
"BNA_PIE"	"0.46551724137931033_74.29629629629629"
"BNA_SFO"	"0.40536105032822756_48.26990553306343"
"BOI_DAL"	"0.5555555555555556_26.4"
"BOI_DEN"	"0.31486399853466435_37.632926119837116"
"BOI_LAX"	"0.41611925214754925_34.496660595021254"
"BOI_OAK"	"0.34059569773855486_30.044534412955464"
"BOS_ATL"	"0.3308309693489241_36.98536024260169"
"BOS_CMH"	"0.2775086505190311_41.66334164588529"
"BOS_DCA"	"0.3248057234488713_33.6264620993468"
"BOS_FLL"	"0.4601486929410824_41.51476719944406"
"BOS_IAD"	"0.30362165963431786_37.47423277359583"
"BOS_LAS"	"0.44865319865319864_40.24202626641651"
"BOS_LGA"	"0.36166381295388794_44.07778956819851"
"BOS_ORD"	"0.3778851159831087_39.784998086490624"
"BOS_RSW"	"0.4154475703324808_36.965033243043585"
"BOS_SRQ"	"0.4153846153846154_29.437908496732025"
"BRO_IAH"	"0.2240062353858145_45.43910925539318"
"BUF_ATL"	"0.23888091822094693_39.606106106106104"
"BUF_DCA"	"0.2268565615462869_27.7847533632287"
"BUF_FLL"	"0.29660056657223793_35.02769818529131"
"BUF_IAD"	"0.26860254083484575_62.11486486486486"
"BUF_LAS"	"0.2879040319893369_25.55902777777778"
"BUF_LGA"	"0.3385012919896641_60.18647764449291"
"BUF_ORD"	"0.3703933747412008_44.76411403018446"
"BUF_RSW"	"0.3810375670840787_34.91079812206573"
"BUR_SFO"	"0.4533395392134047_51.3547227926078"
"BUR_SJC"	"0.3502841323036573_23.286813643926788"
"BWI_BHM"	"0.3821949347659248_30.396586345381525"
"BWI_CLT"	"0.36561142147734327_29.167772804445132"
"BWI_EWR"	"0.4507952286282306_51.59977949283352"
"BWI_ORF"	"0.4202090592334495_27.15290215588723"
"BWI_RDU"	"0.43347212165097754_29.737314679473794"
"BWI_SAN"	"0.38602455146364495_27.231409001956948"
"BWI_SMF"	"0.35789473684210527_29.908496732026144"
"BWI_VPS"	"0.5263157894736842_54.13333333333333"
"BZN_LGB"	"0.3333333333333333_75.0"
"BZN_PDX"	"0.21903052064631956_20.983606557377048"
"BZN_SEA"	"0.2175925925925926_39.48936170212766"
"CAK_DTW"	"0.3134757600657354_48.3040629095675"
"CAK_MYR"	"0.2159090909090909_33.31578947368421"
"CHA_DFW"	"0.41281427412814276_42.0992141453831"
"CHA_DTW"	"0.3071808510638298_48.1962481962482"
"CHS_BNA"	"0.4154786150712831_28.35171568627451"
"CHS_BOS"	"0.41384388807069217_50.55249110320285"
"CHS_BWI"	"0.3313295615275813_30.58751334044824"
"CHS_CLE"	"0.07368421052631578_32.142857142857146"
"CHS_HOU"	"0.31857389304197814_25.27436823104693"
"CHS_MDW"	"0.3019491245457549_27.74507658643326"
"CHS_MIA"	"0.2903391572456321_34.256637168141594"
"CHS_PHL"	"0.32297447280799113_43.08247422680412"
"CHS_SEA"	"0.1937869822485207_29.61832061068702"
"CHS_STL"	"0.3028571428571429_26.566037735849058"
"CIC_SFO"	"0.4686147186147186_43.032332563510394"
"CID_ATL"	"0.312282331088925_45.16133828996283"
"CID_AZA"	"0.4564102564102564_47.2247191011236"
"CID_LAS"	"0.3333333333333333_84.87234042553192"
"CID_ORD"	"0.38470128419877164_44.28011611030479"
"CLD_LAX"	"0.3831105314639713_26.101276595744682"
"CLE_ALB"	"0.4838709677419355_38.86666666666667"
"CLE_BNA"	"0.3216768027801911_26.312626603646184"
"CLE_BOS"	"0.29977041653000985_45.57257476294676"
"CLE_BWI"	"0.34816929795095736_29.27255185721177"
"CLE_JAX"	"0.609375_33.41025641025641"
"CLE_MDW"	"0.361997226074896_26.007368110816387"
"CLE_MIA"	"0.39364303178484106_35.31180124223602"
"CLE_PBI"	"0.48412698412698413_32.01639344262295"
"CLE_PDX"	"0.28888888888888886_37.63461538461539"
"CLE_PHL"	"0.40493468795355586_45.18996415770609"
"CLE_SAT"	"0.46153846153846156_47.416666666666664"
"CLE_SEA"	"0.5490654205607477_40.00425531914894"
"CLE_SJU"	"0.26011560693641617_23.2"
"CLE_STL"	"0.29946960424316604_26.28474114441417"
"CLE_SYR"	"0.34408602150537637_40.75"
"CLE_TPA"	"0.32790525536639525_48.901805869074494"
"CLT_ACK"	"0.625_14.6"
"CLT_BGR"	"0.3472222222222222_27.32"
"CLT_DAY"	"0.48874755381604695_39.06206206206206"
"CLT_DSM"	"0.41124260355029585_26.270983213429258"
"CLT_GNV"	"0.46661981728742097_29.32078313253012"
"CLT_HPN"	"0.48494983277591974_38.79137931034483"
"CLT_IAH"	"0.4071873725901334_33.22414532970963"
"CLT_IND"	"0.3040677342168231_29.902542372881356"
"CLT_LIT"	"0.44239226033421286_23.314115308151095"
"CLT_MCO"	"0.4710260499734184_27.68572861800853"
"CLT_MKE"	"0.4090638044126416_36.494169096209916"
"CLT_MLB"	"0.4801362088535755_30.368794326241133"
"CLT_MSP"	"0.3228985507246377_30.90459092074891"
"CLT_OAJ"	"0.5_35.572098475967174"
"CLT_SFO"	"0.449212271973466_35.778034148592525"
"CLT_SJC"	"0.4744525547445255_43.85128205128205"
"CLT_TYS"	"0.46392552366175327_38.86371237458194"
"CMH_DAL"	"0.35336194563662376_31.15991902834008"
"CMH_DEN"	"0.3103249375120169_36.424411400247834"
"CMH_LAX"	"0.3315068493150685_31.932966023875114"
"CMH_OAK"	"0.36115843270868825_26.50943396226415"
"CMH_TTN"	"1.0_95.0"
"CNY_DEN"	"0.33653846153846156_38.357142857142854"
"COD_ORD"	"0.5227272727272727_74.30434782608695"
"COS_DFW"	"0.34490042245021124_46.774715660542434"
"COS_SLC"	"0.2187779433681073_38.880108991825615"
"CRP_DFW"	"0.4343690551680406_43.26532846715328"
"CRW_DFW"	"0.5521739130434783_53.27165354330709"
"CRW_DTW"	"0.1111111111111111_57.041666666666664"
"CRW_MYR"	"0.358695652173913_31.0"
"CVG_IAH"	"0.4475574712643678_37.09309791332263"
"CVG_MCO"	"0.26975743348982784_35.79550398839739"
"CVG_MKE"	"0.3416184971098266_52.62774957698816"
"CVG_MSP"	"0.2906478447189312_41.902862098872504"
"CVG_PGD"	"0.3526315789473684_57.94776119402985"
"CVG_PIE"	"0.35142118863049093_48.25735294117647"
"CVG_SFO"	"0.34137622877569257_42.890052356020945"
"CVG_SJC"	"0.32222222222222224_47.55172413793103"
"DAB_ATL"	"0.23085419734904272_43.11323763955343"
"DAL_BHM"	"0.5083440308087291_29.42020202020202"
"DAL_CLT"	"0.4840255591054313_30.97854785478548"
"DAL_ELP"	"0.45045527584359935_27.830558858501785"
"DAL_RDU"	"0.5192761605035405_28.73939393939394"
"DAL_SAN"	"0.4140997830802603_25.64903090623363"
"DAL_SMF"	"0.4985507246376812_32.21511627906977"
"DCA_ACK"	"0.21835443037974683_41.0"
"DCA_BGR"	"0.30279898218829515_21.100840336134453"
"DCA_DAY"	"0.3985239852398524_52.47962962962963"
"DCA_DSM"	"0.4757834757834758_41.952095808383234"
"DCA_HPN"	"0.5147286821705427_43.8222891566265"
"DCA_IAH"	"0.310218273131157_37.93275217932752"
"DCA_IND"	"0.317743132887899_34.87227414330218"
"DCA_LIT"	"0.42857142857142855_42.153153153153156"
"DCA_MCO"	"0.36065395095367847_36.69038984587489"
"DCA_MKE"	"0.25575392557539256_36.042893187552565"
"DCA_MSP"	"0.28048071331653424_39.304422944022114"
"DCA_SFO"	"0.3737458193979933_38.811334824757644"
"DCA_TYS"	"0.4287454323995128_50.92613636363637"
"DEN_ALB"	"0.4507269789983845_35.87096774193548"
"DEN_ANC"	"0.39780701754385966_27.856670341786106"
"DEN_BNA"	"0.40862193073662323_28.272068898023097"
"DEN_BOS"	"0.40182780880539637_38.42617328519856"
"DEN_BWI"	"0.37201667997515747_30.61745766754114"
"DEN_BZN"	"0.3644954438069524_33.51990740740741"
"DEN_CLE"	"0.3482680219339307_34.92165898617512"
"DEN_FAR"	"0.4119521912350598_32.60058027079304"
"DEN_GCC"	"0.3056008700380642_35.25800711743772"
"DEN_HOU"	"0.4228285773797126_28.279064039408865"
"DEN_HRL"	"0.07142857142857142_3.0"
"DEN_HYS"	"0.2563622754491018_42.85255474452555"
"DEN_ICT"	"0.35131717597471024_34.68926214757049"
"DEN_ILG"	"0.647887323943662_34.96739130434783"
"DEN_ISN"	"0.42374751710439196_31.286458333333332"
"DEN_JAC"	"0.3933559035124841_35.33082302313071"
"DEN_JAX"	"0.5008818342151675_31.985035211267604"
"DEN_KOA"	"0.32105263157894737_37.85245901639344"
"DEN_LGB"	"0.3490566037735849_26.83783783783784"
"DEN_MDW"	"0.38694953391192544_29.66323309519854"
"DEN_MEM"	"0.4079391891891892_33.71911663216011"
"DEN_MIA"	"0.4057880815310409_33.82438650306749"
"DEN_MTJ"	"0.41843971631205673_33.503259452411996"
"DEN_PBI"	"0.3076923076923077_26.59375"
"DEN_PDX"	"0.3850872046509147_30.330470914127424"
"DEN_PHL"	"0.38628789081098236_34.49342645850452"
"DEN_PRC"	"0.3064516129032258_46.0"
"DEN_RDM"	"0.45068163592622296_32.98398576512456"
"DEN_SAF"	"0.486652977412731_41.72784810126582"
"DEN_SAT"	"0.390564148214087_31.24017094017094"
"DEN_SEA"	"0.41279669762641896_28.574765625"
"DEN_STL"	"0.41111769185210256_29.976949989709816"
"DEN_SYR"	"0.3181818181818182_45.142857142857146"
"DEN_TPA"	"0.39993650121706_30.653612066684307"
"DFW_AEX"	"0.41724137931034483_33.86245572609209"
"DFW_BHM"	"0.4529937686263885_35.41985645933014"
"DFW_CLT"	"0.38661710037174724_28.490634365634367"
"DFW_CRP"	"0.5023696682464455_36.92955974842767"
"DFW_CRW"	"0.5735607675906184_42.60223048327138"
"DFW_ELP"	"0.4274621986105435_35.48852772466539"
"DFW_EWR"	"0.44210291160920395_46.21408118578407"
"DFW_FLG"	"0.9090909090909091_69.9"
"DFW_GCK"	"0.3632668144863267_32.18209562563581"
"DFW_LCH"	"0.399226056110932_35.01211631663974"
"DFW_LFT"	"0.42818894626123544_32.09334524341224"
"DFW_MLU"	"0.4029398040130658_44.211349160393745"
"DFW_MSN"	"0.45648854961832064_25.379933110367894"
"DFW_ORF"	"0.4603762827822121_35.20061919504644"
"DFW_RAP"	"0.48616803278688525_37.69020021074816"
"DFW_RDU"	"0.42335356259833673_30.772763472259093"
"DFW_ROW"	"0.38176726820161794_36.93643031784841"
"DFW_SAN"	"0.42859689784275273_32.04547975596228"
"DFW_SMF"	"0.47594015365952286_30.737184933446617"
"DFW_SUX"	"0.4441747572815534_30.07650273224044"
"DFW_VPS"	"0.41653951785169363_35.83772893772894"
"DLH_DTW"	"0.5324675324675324_33.09756097560975"
"DRO_DFW"	"0.436030428769018_44.421887390959554"
"DSM_OKC"	"1.0_36.0"
"DSM_PHX"	"0.3847402597402597_20.895358649789028"
"DTW_AVL"	"0.16770186335403728_39.96296296296296"
"DTW_BGM"	"0.32073544433094997_42.77707006369427"
"DTW_BMI"	"0.25109170305676853_34.84347826086957"
"DTW_BUF"	"0.28308480894687793_37.67078189300412"
"DTW_CHA"	"0.3222326454033771_36.63173216885007"
"DTW_DLH"	"0.37142857142857144_17.153846153846153"
"DTW_ELM"	"0.3310755336617406_37.92002479851209"
"DTW_ERI"	"0.32244517032197856_39.214182344428366"
"DTW_GSP"	"0.2929433611884865_44.633914421553094"
"DTW_MSY"	"0.27835807220084297_33.66820276497696"
"DTW_OKC"	"0.3802559414990859_38.32692307692308"
"DTW_PHX"	"0.3225448749047058_27.257198109153418"
"DTW_RIC"	"0.3456447480785653_46.59975293390982"
"DTW_SCE"	"0.2863457760314342_45.76672384219554"
"DTW_TUL"	"0.3850267379679144_53.41319444444444"
"ECP_AUS"	"0.3170731707317073_30.923076923076923"
"ECP_DFW"	"0.2367758186397985_57.43617021276596"
"EFD_IAH"	"1.0_56.0"
"EGE_EWR"	"0.41025641025641024_74.65865384615384"
"ELM_ATL"	"0.4262295081967213_77.5"
"ELM_ORD"	"0.4424908424908425_41.67218543046358"
"ELP_SAN"	"0.379746835443038_21.166666666666668"
"EUG_BOI"	"1.0_34.0"
"EUG_DEN"	"0.3020115734362083_38.5757299270073"
"EUG_LAX"	"0.3796325132357521_28.688269073010666"
"EUG_OAK"	"0.5793650793650794_46.0958904109589"
"EWR_AUS"	"0.32631409741199163_43.21822660098522"
"EWR_AVP"	"0.371900826446281_48.285185185185185"
"EWR_BDL"	"0.36065573770491804_40.803636363636365"
"EWR_CAE"	"0.8095238095238095_57.411764705882355"
"EWR_CHS"	"0.4021916912005234_38.51281008540057"
"EWR_DFW"	"0.3623219526161334_44.78960885025682"
"EWR_DTW"	"0.3331543143573219_49.79392799570124"
"EWR_HDN"	"0.37383177570093457_44.3"
"EWR_HNL"	"0.3706992230854606_44.206586826347305"
"EWR_LEX"	"0.3545586107091172_39.10612244897959"
"EWR_MHT"	"0.4078044596912521_40.38275499474238"
"EWR_MYR"	"0.25227568270481143_40.56701030927835"
"EWR_OMA"	"0.399066091954023_36.55265526552655"
"EWR_PSP"	"0.23076923076923078_17.333333333333332"
"EWR_ROC"	"0.3643651409361262_41.171753016323635"
"EWR_SAV"	"0.3922279792746114_44.70607661822986"
"EWR_SDF"	"0.4568245125348189_39.30623306233063"
"EWR_SLC"	"0.3828409550789154_50.77272727272727"
"EWR_XNA"	"0.42039800995024873_31.807692307692307"
"EYW_MCO"	"0.5316455696202531_22.178571428571427"
"FAR_DEN"	"0.3258631132646881_38.63568773234201"
"FAR_LAX"	"0.3_134.0"
"FAR_SFB"	"0.4626865671641791_82.54838709677419"
"FAT_SFO"	"0.4304939155332856_52.23578317259727"
"FCA_ATL"	"0.4536082474226804_30.045454545454547"
"FCA_LAS"	"0.4528301886792453_52.104166666666664"
"FCA_ORD"	"0.4523809523809524_43.67434210526316"
"FLG_PHX"	"0.3368826170622194_26.904036557501904"
"FLL_ATL"	"0.2954054260215108_34.67894646238595"
"FLL_CMH"	"0.39843342036553525_38.29750982961992"
"FLL_DCA"	"0.3849816563890407_37.57542579075426"
"FLL_FNT"	"0.7083333333333334_23.235294117647058"
"FLL_IAD"	"0.30224772835963654_40.84018987341772"
"FLL_LAS"	"0.38776353865233565_33.32089552238806"
"FLL_LGA"	"0.4021027573894069_47.63147508633448"
"FLL_ORD"	"0.3683734258351557_41.58833162743091"
"FLL_PVD"	"0.3838762596672135_39.208180708180706"
"FLO_CLT"	"0.41317365269461076_32.14492753623188"
"FNT_MYR"	"0.045454545454545456_12.0"
"FSD_PHX"	"0.4444444444444444_45.02857142857143"
"GEG_ATL"	"0.45454545454545453_29.8"
"GEG_LAS"	"0.32032115171650055_25.95505617977528"
"GEG_ORD"	"0.3229166666666667_33.33870967741935"
"GFK_AZA"	"0.42857142857142855_56.55555555555556"
"GFK_LAS"	"0.3611111111111111_55.717948717948715"
"GJT_PHX"	"0.2880587346145541_24.975262368815592"
"GRK_IAH"	"0.2585949177877429_41.82658959537572"
"GRR_IAH"	"0.40498614958448753_39.45827633378933"
"GRR_MCO"	"0.35659455687369157_40.80821917808219"
"GRR_MSP"	"0.2561764705882353_41.762342135476466"
"GRR_PGD"	"0.46987951807228917_39.57692307692308"
"GRR_PIE"	"0.40293040293040294_47.03636363636364"
"GSO_ATL"	"0.23542781728865753_39.51790719402055"
"GSO_DCA"	"0.4282380396732789_45.49318801089918"
"GSO_FLL"	"0.2777777777777778_133.9"
"GSO_IAD"	"0.36017897091722595_52.0527950310559"
"GSO_LGA"	"0.4114592058971352_53.9735342019544"
"GSO_ORD"	"0.3297137216189536_45.955089820359284"
"GSP_DFW"	"0.4052532833020638_38.95"
"GSP_DTW"	"0.21106941838649157_50.666666666666664"
"GTF_SLC"	"0.19584019769357497_33.17770767613039"
