"OO_5673"	"0.3746130030959752 - 37.63636363636363"
"OO_5674"	"0.32222222222222224 - 38.88275862068966"
"OO_5675"	"0.24676524953789278 - 44.09737827715356"
"OO_5676"	"0.45958646616541354 - 26.881390593047033"
"OO_5677"	"0.3628158844765343 - 42.61940298507463"
"OO_5678"	"0.32210655235762403 - 37.444866920152094"
"OO_5679"	"0.3565300285986654 - 47.29679144385027"
"OO_5680"	"0.4328824141519251 - 34.35336538461539"
"OO_5681"	"0.36670687575392036 - 41.11513157894737"
"OO_5682"	"0.3354564755838641 - 28.313291139240505"
"OO_5683"	"0.30078895463510846 - 33.429508196721315"
"OO_5684"	"0.31338028169014087 - 54.30711610486891"
"OO_5685"	"0.4120234604105572 - 45.604982206405694"
"OO_5686"	"0.3958904109589041 - 46.377162629757784"
"OO_5687"	"0.3246753246753247 - 40.61666666666667"
"OO_5688"	"0.4133083411433927 - 30.79138321995465"
"OO_5689"	"0.3603851444291609 - 38.61832061068702"
"OO_5690"	"0.3652173913043478 - 39.38095238095238"
"OO_5691"	"0.36083608360836084 - 38.02439024390244"
"OO_5692"	"0.3862857142857143 - 38.52662721893491"
"OO_5693"	"0.32265717674970346 - 38.5514705882353"
"OO_5694"	"0.3672612801678909 - 38.05142857142857"
"OO_5695"	"0.345679012345679 - 38.535714285714285"
"OO_5696"	"0.3355263157894737 - 39.101960784313725"
"OO_5697"	"0.43015521064301554 - 45.00515463917526"
"OO_5698"	"0.3857008466603951 - 48.34146341463415"
"OO_5699"	"0.2791044776119403 - 37.37967914438503"
"OO_5700"	"0.3395661929693343 - 52.140969162995596"
"OO_5701"	"0.3787085514834206 - 38.88940092165899"
"OO_5702"	"0.3964620187304891 - 42.85826771653543"
"OO_5703"	"0.37875 - 43.102310231023104"
"OO_5704"	"0.3220675944333996 - 34.27160493827161"
"OO_5705"	"0.44288389513108617 - 50.84566596194503"
"OO_5706"	"0.48468708388814913 - 43.3021978021978"
"OO_5707"	"0.375 - 43.72962962962963"
"OO_5708"	"0.40154867256637167 - 32.56198347107438"
"OO_5709"	"0.30977620730270905 - 54.961977186311785"
"OO_5710"	"0.41214351425942963 - 51.029017857142854"
"OO_5711"	"0.402457757296467 - 46.083969465648856"
"OO_5712"	"0.3598130841121495 - 48.70454545454545"
"OO_5713"	"0.42412818096135724 - 26.92888888888889"
"OO_5714"	"0.3780313837375178 - 39.969811320754715"
"OO_5715"	"0.31608133086876156 - 41.228070175438596"
"OO_5716"	"0.3664021164021164 - 40.72202166064982"
"OO_5717"	"0.3054892601431981 - 29.73046875"
"OO_5718"	"0.30704225352112674 - 47.72018348623853"
"OO_5719"	"0.3465533522190746 - 31.46866485013624"
"OO_5720"	"0.354639175257732 - 32.354651162790695"
"OO_5721"	"0.3376792698826597 - 36.95366795366795"
"OO_5722"	"0.4839650145772595 - 39.42168674698795"
"OO_5723"	"0.5586080586080586 - 73.42950819672132"
"OO_5724"	"0.3260135135135135 - 44.02590673575129"
"OO_5725"	"0.29958246346555323 - 37.09756097560975"
"OO_5726"	"0.39655172413793105 - 41.89328063241107"
"OO_5727"	"0.3958785249457701 - 55.66027397260274"
"OO_5728"	"0.31844215349369986 - 42.84892086330935"
"OO_5729"	"0.4422809457579972 - 34.88364779874214"
"OO_5730"	"0.3793103448275862 - 45.0"
"OO_5731"	"0.3526093088857546 - 49.944"
"OO_5732"	"0.3898305084745763 - 31.72463768115942"
"OO_5733"	"0.34296028880866425 - 65.86315789473684"
"OO_5734"	"0.42203742203742206 - 33.1256157635468"
"OO_5735"	"0.30467289719626167 - 38.50306748466258"
"OO_5736"	"0.44291338582677164 - 38.095555555555556"
"OO_5737"	"0.37122557726465366 - 40.76555023923445"
"OO_5738"	"0.32113821138211385 - 46.107594936708864"
"OO_5739"	"0.3992248062015504 - 44.3252427184466"
"OO_5740"	"0.5169491525423728 - 54.91569086651054"
"OO_5741"	"0.4405940594059406 - 37.853932584269664"
"OO_5742"	"0.3246124031007752 - 36.668656716417914"
"OO_5743"	"0.3858114674441205 - 65.98992443324937"
"OO_5744"	"0.33835845896147404 - 50.08910891089109"
"OO_5745"	"0.3621700879765396 - 45.178137651821864"
"OO_5746"	"0.38688946015424164 - 61.82724252491694"
"OO_5747"	"0.43043478260869567 - 47.07575757575758"
"OO_5748"	"0.28859060402684567 - 43.288372093023256"
"OO_5749"	"0.3275058275058275 - 50.32384341637011"
"OO_5750"	"0.41785714285714287 - 43.732193732193736"
"OO_5751"	"0.4133099824868651 - 32.3728813559322"
"OO_5752"	"0.36018411967779057 - 50.07667731629393"
"OO_5753"	"0.39285714285714285 - 41.52097902097902"
"OO_5754"	"0.2956521739130435 - 51.580882352941174"
"OO_5755"	"0.3506172839506173 - 42.30281690140845"
"OO_5756"	"0.39462809917355374 - 51.69109947643979"
"OO_5757"	"0.2599795291709314 - 38.40157480314961"
"OO_5758"	"0.35661764705882354 - 38.72680412371134"
"OO_5759"	"0.3718535469107552 - 38.003076923076925"
"OO_5760"	"0.3686440677966102 - 54.40996168582375"
"OO_5761"	"0.3864013266998342 - 50.72103004291846"
"OO_5762"	"0.3929712460063898 - 34.1260162601626"
"OO_5763"	"0.3480392156862745 - 34.36619718309859"
"OO_5764"	"0.4072265625 - 72.89928057553956"
"OO_5765"	"0.42815533980582526 - 48.9546485260771"
"OO_5766"	"0.24455445544554455 - 37.17004048582996"
"OO_5767"	"0.35067437379576105 - 33.082417582417584"
"OO_5768"	"0.3596392333709132 - 39.96238244514107"
"OO_5769"	"0.37218045112781956 - 38.22222222222222"
"OO_5770"	"0.4179431072210066 - 44.39267015706806"
"OO_5771"	"0.4236588720770289 - 51.31818181818182"
"OO_5772"	"0.3654580152671756 - 31.407310704960835"
"OO_5773"	"0.43548387096774194 - 60.36213991769547"
"OO_5774"	"0.3944223107569721 - 47.45454545454545"
"OO_5775"	"0.3537832310838446 - 39.861271676300575"
"OO_5776"	"0.27800269905533065 - 31.475728155339805"
"OO_5777"	"0.3770491803278688 - 40.95652173913044"
"OO_5778"	"0.381635581061693 - 38.796992481203006"
"OO_5779"	"0.2986198243412798 - 34.403361344537814"
"OO_5780"	"0.3683510638297872 - 38.368231046931406"
"OO_5781"	"0.33665835411471323 - 40.55555555555556"
"OO_5782"	"0.3724137931034483 - 47.574074074074076"
"OO_5783"	"0.41301460823373176 - 46.07717041800643"
"OO_5784"	"0.3906810035842294 - 39.66360856269113"
"OO_5785"	"0.36658354114713215 - 46.60204081632653"
"OO_5786"	"0.4338896020539153 - 43.5887573964497"
"OO_5787"	"0.3821428571428571 - 42.01401869158879"
"OO_5788"	"0.42953020134228187 - 32.984375"
"OO_5789"	"0.4029574861367837 - 47.8394495412844"
"OO_5790"	"0.39712918660287083 - 36.80722891566265"
"OO_5791"	"0.3715469613259669 - 47.732342007434944"
"OO_5792"	"0.4387947269303202 - 55.55793991416309"
"OO_5793"	"0.5192118226600986 - 28.91840607210626"
"OO_5794"	"0.3761904761904762 - 44.60337552742616"
"OO_5795"	"0.3752012882447665 - 43.738197424892704"
"OO_5796"	"0.44804318488529016 - 46.816265060240966"
"OO_5797"	"0.3106267029972752 - 50.666666666666664"
"OO_5798"	"0.4346917450365726 - 37.55048076923077"
"OO_5799"	"0.3813813813813814 - 34.75590551181102"
"OO_5800"	"0.42610364683301344 - 41.06306306306306"
"OO_5801"	"0.32984901277584205 - 41.98943661971831"
"OO_5802"	"0.3798941798941799 - 41.57660167130919"
"OO_5803"	"0.38050734312416556 - 41.2"
"OO_5804"	"0.30120481927710846 - 46.69"
"OO_5805"	"0.3717171717171717 - 40.31521739130435"
"OO_5806"	"0.36666666666666664 - 40.18939393939394"
"OO_5807"	"0.41025641025641024 - 34.984375"
"OO_5808"	"0.4663805436337625 - 38.0398773006135"
"OO_5809"	"0.5205761316872428 - 58.023715415019765"
"OO_5810"	"0.35343383584589616 - 43.426540284360186"
"OO_5811"	"0.38444924406047515 - 73.04213483146067"
"OO_5812"	"0.39100346020761245 - 45.525073746312685"
"OO_5813"	"0.515748031496063 - 31.83587786259542"
"OO_5814"	"0.3763020833333333 - 29.581314878892734"
"OO_5815"	"0.35856992639327023 - 39.48093841642229"
"OO_5816"	"0.3971119133574007 - 48.45454545454545"
"OO_5817"	"0.33530106257378983 - 39.017605633802816"
"OO_5818"	"0.37279151943462896 - 35.69668246445497"
"OO_5819"	"0.3673469387755102 - 28.82936507936508"
"OO_5820"	"0.3298791018998273 - 36.72251308900523"
"OO_5821"	"0.362339514978602 - 39.51574803149607"
"OO_5822"	"0.2842535787321063 - 38.26978417266187"
"OO_5823"	"0.33687002652519893 - 43.62204724409449"
"OO_5824"	"0.3746130030959752 - 37.78512396694215"
"OO_5825"	"0.3448773448773449 - 48.47280334728033"
"OO_5826"	"0.39851485148514854 - 40.78260869565217"
"OO_5827"	"0.395 - 35.76898734177215"
"OO_5828"	"0.485838779956427 - 41.20627802690583"
"OO_5829"	"0.3872387238723872 - 53.73011363636363"
"OO_5830"	"0.32142857142857145 - 38.00483091787439"
"OO_5831"	"0.2805391743892165 - 32.108108108108105"
"OO_5832"	"0.3883495145631068 - 29.28"
"OO_5833"	"0.2861271676300578 - 29.383838383838384"
"OO_5834"	"0.4067524115755627 - 42.758893280632414"
"OO_5835"	"0.3757725587144623 - 60.19078947368421"
"OO_5836"	"0.32602739726027397 - 40.82773109243698"
"OO_5837"	"0.33638025594149906 - 31.891304347826086"
"OO_5838"	"0.484375 - 48.02508960573477"
"OO_5839"	"0.4251968503937008 - 58.24074074074074"
"OO_5840"	"0.3428912783751493 - 31.16724738675958"
"OO_5841"	"0.42857142857142855 - 33.26775956284153"
"OO_5842"	"0.31305309734513276 - 41.5547703180212"
"OO_5843"	"0.4148527528809219 - 32.76234567901235"
"OO_5844"	"0.342728297632469 - 36.6578947368421"
"OO_5845"	"0.32710280373831774 - 40.871428571428574"
"OO_5846"	"0.43953934740882916 - 40.799126637554586"
"OO_5847"	"0.3649122807017544 - 45.55769230769231"
"OO_5848"	"0.4140625 - 38.100628930817614"
"OO_5849"	"0.40966921119592875 - 29.31055900621118"
"OO_5850"	"0.2957600827300931 - 48.18531468531469"
"OO_5851"	"0.3081081081081081 - 44.56140350877193"
"OO_5852"	"0.2934131736526946 - 36.5578231292517"
"OO_5853"	"0.30272108843537415 - 48.449438202247194"
"OO_5854"	"0.42538354253835425 - 46.60327868852459"
"OO_5855"	"0.36388508891928867 - 43.67669172932331"
"OO_5856"	"0.20854021847070506 - 40.2"
"OO_5857"	"0.39622641509433965 - 55.91904761904762"
"OO_5858"	"0.46965699208443273 - 29.691011235955056"
"OO_5859"	"0.41818181818181815 - 25.557971014492754"
"OO_5860"	"0.3150684931506849 - 30.78985507246377"
"OO_5861"	"0.33126934984520123 - 41.28971962616822"
"OO_5862"	"0.4336016096579477 - 26.633410672853827"
"OO_5863"	"0.3201663201663202 - 42.464285714285715"
"OO_5864"	"0.37986270022883295 - 37.77710843373494"
"OO_5865"	"0.42281219272369713 - 59.4"
"OO_5866"	"0.34152652005174644 - 39.79924242424242"
"OO_5867"	"0.3741935483870968 - 34.38793103448276"
"OO_5868"	"0.4 - 38.553125"
"OO_5869"	"0.33849821215733017 - 47.36971830985915"
"OO_5870"	"0.309552599758162 - 49.58984375"
"OO_5871"	"0.29553264604810997 - 30.569767441860463"
"OO_5872"	"0.36084142394822005 - 54.19730941704036"
"OO_5873"	"0.38140161725067384 - 41.95406360424028"
"OO_5874"	"0.3338632750397456 - 52.88095238095238"
"OO_5875"	"0.33384146341463417 - 52.51141552511415"
"OO_5876"	"0.5067637877211238 - 53.215605749486656"
"OO_5877"	"0.3934010152284264 - 48.61290322580645"
"OO_5878"	"0.2895981087470449 - 29.012244897959185"
"OO_5879"	"0.3293864370290635 - 37.333333333333336"
"OO_5880"	"0.4576719576719577 - 59.72832369942196"
"OO_5881"	"0.37260677466863035 - 31.679841897233203"
"OO_5882"	"0.3981623277182236 - 70.42307692307692"
"OO_5883"	"0.384140061791967 - 28.839142091152816"
"OO_5884"	"0.30158730158730157 - 40.94210526315789"
"OO_5885"	"0.3448275862068966 - 61.95882352941177"
"OO_5886"	"0.3300970873786408 - 47.42156862745098"
"OO_5887"	"0.4295377677564825 - 42.01049868766404"
"OO_5888"	"0.4090909090909091 - 36.63703703703704"
"OO_5889"	"0.3693516699410609 - 43.04255319148936"
"OO_5890"	"0.3868046571798189 - 39.94983277591973"
"OO_5891"	"0.30666666666666664 - 55.87391304347826"
"OO_5892"	"0.38482384823848237 - 29.697183098591548"
"OO_5893"	"0.4099025974025974 - 42.96831683168317"
"OO_5894"	"0.32170542635658916 - 32.816265060240966"
"OO_5895"	"0.3877551020408163 - 41.8328173374613"
"OO_5896"	"0.3076923076923077 - 28.803030303030305"
"OO_5897"	"0.3720038350910834 - 29.938144329896907"
"OO_5898"	"0.29497206703910617 - 35.06060606060606"
"OO_5899"	"0.5178571428571429 - 49.875"
"OO_5900"	"0.35370611183355005 - 41.400735294117645"
"OO_5901"	"0.331306990881459 - 42.091743119266056"
"OO_5902"	"0.49096385542168675 - 29.07668711656442"
"OO_5903"	"0.31544502617801046 - 40.4149377593361"
"OO_5904"	"0.3911290322580645 - 37.175257731958766"
"OO_5905"	"0.34968354430379744 - 43.457013574660635"
"OO_5906"	"0.382262996941896 - 34.808"
"OO_5907"	"0.4122340425531915 - 30.729032258064517"
"OO_5908"	"0.24956063268892795 - 38.394366197183096"
